Company Name,Post,Job location,Company Rating,Post Date,Job location city
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
Sattva,"Data Analyst, Data CoE",Remote,,Posted30+ days ago,Remote
World Bank Group,Financial Analyst,"Chennai, Tamil Nadu",,Posted6 days ago,Chennai
American Express Global Business Travel,MI Data Management Analyst,"Gurgaon, Haryana",,Posted15 days ago,Gurgaon
Deloitte,Analyst/ Consultant – Strategy and Innovation - Deloitte Risk and Financial Advisory,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Morgan Stanley,Analyst - Talent and Compliance,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
IQVIA,Strategy Support Analyst,Remote,,Posted30+ days ago,Remote
"D. E. Shaw & Co., L.P. India",Analyst/Senior Analyst/Data Analytics,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Accenture,Analyst-Supply chain management,"Mumbai, Maharashtra+2 locations",,Posted30+ days ago,Mumbai
PCDS Infotech,Data/Research Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Deloitte,Resource Management Information Services – Analyst,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
Microland,Analyst - Service Desk(JC1616),"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Newfold Digital,Associate Business Analyst - Accounts Payable,"Mumbai, Maharashtra",,Posted27 days ago,Mumbai
Deloitte,USI-EH22-EA-CMG-Research and Insights- HEI-Data Analyst-Assistant Manager,"Hyderabad, Telangana",,Posted30+ days ago,Hyderabad
EATON,Sr. Data Analyst,"Hadapsar, Pune, Maharashtra",,Posted28 days ago,Hadapsar
StatusNeo Technology Consulting,Big Data Analyst,"Gurgaon, Haryana",,PostedToday,Gurgaon
RELX,Data Analyst,"Bengaluru, Karnataka+1 location",,Posted30+ days ago,Bengaluru
Consilio LLC,eDiscovery Analyst - Data Operations,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
Calypso,Business Analyst,"Mumbai, Maharashtra",,Posted30+ days ago,Mumbai
Arsh Biotech,Data mining analyst (Part,India,,Posted30+ days ago,Remote Job(based in India)
Accenture,Risk & Compliance Analyst,India,,Posted30+ days ago,Remote Job(based in India)
MasterCard,Product Owner-Business Analyst-Technical,"Pune, Maharashtra",,Posted30+ days ago,Pune
"JPMorgan Chase Bank, N.A.",CTC Risk - Capital Management - Senior Analyst,"Mumbai, Maharashtra",,Posted1 day ago,Mumbai
Fidelity International,Analyst Programmer,"Gurgaon, Haryana",,Posted9 days ago,Gurgaon
UBS,Data Management Analyst,"Pune, Maharashtra",,Posted13 days ago,Pune
Genpact,DH - Business Analyst - Data Analyst,"Bengaluru, Karnataka",,Posted30+ days ago,Bengaluru
BMC Software,Staff User Experience Data Analyst,"Pune, Maharashtra",,Posted27 days ago,Pune
Risk Management Solutions (RMS),Risk Analyst,"Noida, Uttar Pradesh",,Posted13 days ago,Noida
Citi,Data Quality Senior Analyst-Chennai-AVP C12 (R21036506),"Chennai, Tamil Nadu",,PostedJust posted,Chennai
Ecolab,BI Analyst,"Bengaluru, Karnataka",,Posted1 day ago,Bengaluru
ZM Financial Systems,Data Analyst-Data Governance,"Gurgaon, Haryana",,Posted16 days ago,Gurgaon
